Geo,Country,YearMon,Hotel,ShortStay,Camp
AT,Austria,2017M09,7768564,1453530,524121
AT,Austria,2017M08,11353432,3140217,1997801
AT,Austria,2017M07,10124106,2836425,1752605
AT,Austria,2017M06,7391827,1568683,914560
AT,Austria,2017M05,5068884,1054870,359560
AT,Austria,2017M04,5647811,1360315,171094
AT,Austria,2017M03,8666740,2534986,97576
AT,Austria,2017M02,10058766,3098349,127907
AT,Austria,2017M01,8894965,2667903,134533
AT,Austria,2016M12,6670483,1468847,117579
AT,Austria,2016M11,3600616,681867,28303
AT,Austria,2016M10,5727389,985402,146108
AT,Austria,2016M09,7726801,1443829,620032
AT,Austria,2016M08,11399594,3022261,1897979
AT,Austria,2016M07,9996416,2633484,1608971
AT,Austria,2016M06,6444485,1287244,569242
AT,Austria,2016M05,5619330,1118179,445622
AT,Austria,2016M04,4272536,889815,104499
AT,Austria,2016M03,9595174,2726831,144641
AT,Austria,2016M02,10318480,3128010,132035
AT,Austria,2016M01,8713294,2555454,116407
AT,Austria,2015M12,6990602,1550856,126463
AT,Austria,2015M11,3545496,616044,29087
AT,Austria,2015M10,5267194,882768,112718
AT,Austria,2015M09,7494085,1333899,472431
AT,Austria,2015M08,11003742,2847690,1685114
AT,Austria,2015M07,9371061,2442959,1543794
AT,Austria,2015M06,6772105,1333514,675179
AT,Austria,2015M05,5225097,1026240,349436
AT,Austria,2015M04,4976618,1072284,130276
AT,Austria,2015M03,7955911,2165803,85578
AT,Austria,2015M02,10053358,2933277,128504
AT,Austria,2015M01,8610592,2441686,114444
AT,Austria,2014M12,7180250,1580808,127138
AT,Austria,2014M11,3372024,591386,16591
AT,Austria,2014M10,5374878,895056,146412
AT,Austria,2014M09,7169364,1269970,427523
AT,Austria,2014M08,10872383,2790575,1480369
AT,Austria,2014M07,8709923,2275520,1416192
AT,Austria,2014M06,6773312,1380742,760589
AT,Austria,2014M05,4866142,940086,281425
AT,Austria,2014M04,4830271,1092013,147840
AT,Austria,2014M03,8290659,2199921,95403
AT,Austria,2014M02,9196802,2644984,96069
AT,Austria,2014M01,8675347,2361033,111776
AT,Austria,2013M12,7064515,1528397,139664
AT,Austria,2013M11,3357510,564047,21216
AT,Austria,2013M10,5182703,835854,138773
AT,Austria,2013M09,7175627,1220937,445248
AT,Austria,2013M08,10629261,2651234,1641610
AT,Austria,2013M07,8974594,2318681,1616423
AT,Austria,2013M06,6199656,1180691,499660
AT,Austria,2013M05,5153274,941464,367518
AT,Austria,2013M04,4129076,827407,103737
AT,Austria,2013M03,8979191,2316713,109599
AT,Austria,2013M02,10033215,2792611,124020
AT,Austria,2013M01,8893148,2415766,114337
AT,Austria,2012M12,6751189,1428992,129556
AT,Austria,2012M11,3290204,550998,20685
AT,Austria,2012M10,5092751,829383,130770
AT,Austria,2012M09,7294289,1223901,488898
AT,Austria,2012M08,10333301,2497927,1615589
AT,Austria,2012M07,8957045,2292741,1419541
AT,Austria,2012M06,6412460,1248761,615125
AT,Austria,2012M05,4861063,911916,362602
AT,Austria,2012M04,5131144,1101295,163956
AT,Austria,2012M03,7915091,2010302,77993
AT,Austria,2012M02,9906437,2665597,122264
AT,Austria,2012M01,9176907,2388081,121966
AT,Austria,2011M12,6356124,,
AT,Austria,2011M11,3150243,,
AT,Austria,2011M10,5008307,,
AT,Austria,2011M09,7015952,,
AT,Austria,2011M08,10170155,,
AT,Austria,2011M07,8906105,,
AT,Austria,2011M06,6669939,,
AT,Austria,2011M05,4295948,,
AT,Austria,2011M04,4574148,,
AT,Austria,2011M03,8257092,,
AT,Austria,2011M02,8903201,,
AT,Austria,2011M01,9019340,,
AT,Austria,2010M12,6363631,,
AT,Austria,2010M11,3051074,,
AT,Austria,2010M10,4817540,,
AT,Austria,2010M09,6888665,,
AT,Austria,2010M08,10004855,,
AT,Austria,2010M07,8772340,,
AT,Austria,2010M06,5912562,,
AT,Austria,2010M05,4739437,,
AT,Austria,2010M04,4599889,,
AT,Austria,2010M03,8117018,,
AT,Austria,2010M02,9358288,,
AT,Austria,2010M01,8716880,,
AT,Austria,2009M12,6681766,,
AT,Austria,2009M11,2815086,,
AT,Austria,2009M10,4670591,,
AT,Austria,2009M09,6705003,,
AT,Austria,2009M08,9737740,,
AT,Austria,2009M07,8418288,,
AT,Austria,2009M06,5877948,,
AT,Austria,2009M05,4532892,,
AT,Austria,2009M04,5068900,,
AT,Austria,2009M03,7250707,,
AT,Austria,2009M02,9453080,,
AT,Austria,2009M01,8852985,,
AT,Austria,2008M12,6794087,,
AT,Austria,2008M11,2876428,,
AT,Austria,2008M10,4778215,,
AT,Austria,2008M09,6710735,,
AT,Austria,2008M08,9547711,,
AT,Austria,2008M07,8831660,,
AT,Austria,2008M06,5855235,,
AT,Austria,2008M05,5106849,,
AT,Austria,2008M04,3706376,,
AT,Austria,2008M03,9360863,,
AT,Austria,2008M02,10079014,,
AT,Austria,2008M01,8723144,,
AT,Austria,2007M12,6290164,,
AT,Austria,2007M11,2884795,,
AT,Austria,2007M10,4663711,,
AT,Austria,2007M09,6739903,,
AT,Austria,2007M08,9449067,,
AT,Austria,2007M07,8448372,,
AT,Austria,2007M06,6070583,,
AT,Austria,2007M05,4406761,,
AT,Austria,2007M04,4938776,,
AT,Austria,2007M03,7707720,,
AT,Austria,2007M02,9272461,,
AT,Austria,2007M01,8280241,,
AT,Austria,2006M12,5774578,,
AT,Austria,2006M11,2610488,,
AT,Austria,2006M10,4495143,,
AT,Austria,2006M09,6627394,,
AT,Austria,2006M08,9102507,,
AT,Austria,2006M07,7929347,,
AT,Austria,2006M06,5872136,,
AT,Austria,2006M05,4254634,,
AT,Austria,2006M04,4956379,,
AT,Austria,2006M03,8070991,,
AT,Austria,2006M02,9200443,,
AT,Austria,2006M01,8496753,,
AT,Austria,2005M12,5527745,,
AT,Austria,2005M11,2482671,,
AT,Austria,2005M10,4290591,,
AT,Austria,2005M09,6308220,,
AT,Austria,2005M08,9545458,,
AT,Austria,2005M07,7785846,,
AT,Austria,2005M06,5480489,,
AT,Austria,2005M05,4564436,,
AT,Austria,2005M04,3466044,,
AT,Austria,2005M03,9068741,,
AT,Austria,2005M02,9022045,,
AT,Austria,2005M01,8530728,,
AT,Austria,2004M12,5163550,,
AT,Austria,2004M11,2398372,,
AT,Austria,2004M10,4055278,,
AT,Austria,2004M09,6289363,,
AT,Austria,2004M08,9394192,,
AT,Austria,2004M07,7592095,,
AT,Austria,2004M06,5735662,,
AT,Austria,2004M05,4340483,,
AT,Austria,2004M04,4585553,,
AT,Austria,2004M03,7271493,,
AT,Austria,2004M02,9278729,,
AT,Austria,2004M01,7908848,,
BE,Belgium,2017M09,1663821,1438301,163335
BE,Belgium,2017M08,1835720,2544190,733978
BE,Belgium,2017M07,1832108,2770018,619822
BE,Belgium,2017M06,1651512,1348102,287761
BE,Belgium,2017M05,1657567,1349321,258799
BE,Belgium,2017M04,1675336,1745353,204133
BE,Belgium,2017M03,1402365,973399,59590
BE,Belgium,2017M02,1189849,838187,40298
BE,Belgium,2017M01,1090378,537182,33236
BE,Belgium,2016M12,1420777,902658,53658
BE,Belgium,2016M11,1359791,952168,61041
BE,Belgium,2016M10,1588550,1403176,131809
BE,Belgium,2016M09,1562430,1411325,202083
BE,Belgium,2016M08,1680684,2608860,793959
BE,Belgium,2016M07,1691525,2809491,659580
BE,Belgium,2016M06,1475711,1332320,214964
BE,Belgium,2016M05,1513325,1520157,312136
BE,Belgium,2016M04,1364182,1404612,151623
BE,Belgium,2016M03,1303512,1170610,101147
BE,Belgium,2016M02,1188264,872101,56750
BE,Belgium,2016M01,1034644,512589,33002
BE,Belgium,2015M12,1301864,896196,64435
BE,Belgium,2015M11,1339139,910146,70608
BE,Belgium,2015M10,1747188,1284086,141681
BE,Belgium,2015M09,1756513,1340255,174443
BE,Belgium,2015M08,2007223,2561673,776789
BE,Belgium,2015M07,1932289,2768533,794750
BE,Belgium,2015M06,1778126,1304719,264449
BE,Belgium,2015M05,1852536,1576726,342325
BE,Belgium,2015M04,1673859,1582725,197770
BE,Belgium,2015M03,1417009,850380,47954
BE,Belgium,2015M02,1184234,814310,42668
BE,Belgium,2015M01,1078570,451989,32877
BE,Belgium,2014M12,1488778,534312,43774
BE,Belgium,2014M11,1472910,662273,42285
BE,Belgium,2014M10,1717051,997466,109166
BE,Belgium,2014M09,1717161,832882,198649
BE,Belgium,2014M08,2011684,1609602,673727
BE,Belgium,2014M07,1870019,1910531,685134
BE,Belgium,2014M06,1662983,848559,290283
BE,Belgium,2014M05,1787522,917441,251969
BE,Belgium,2014M04,1645777,1052122,189815
BE,Belgium,2014M03,1437285,773280,49533
BE,Belgium,2014M02,1155794,555749,24854
BE,Belgium,2014M01,1040982,327113,17216
