Name_Code,ParkName,ParkCode,Region,Type
Abraham Lincoln Birthplace National Historical Park (ABLI),Abraham Lincoln Birthplace National Historical Park,ABLI,Southeast,National Historical Park
Acadia National Park (ACAD),Acadia National Park,ACAD,Northeast,National Park
Accounting Operations Center  (AOC),Accounting Operations Center,AOC,,
Adams National Historical Park (ADAM),Adams National Historical Park,ADAM,Northeast,National Historical Park
Adams National Memorial (ADNM),Adams National Memorial,ADNM,,
African American Civil War Memorial (AFAM),African American Civil War Memorial,AFAM,,
African Burial Ground National Monument (AFBG),African Burial Ground National Monument,AFBG,Northeast,National Monument
Agate Fossil Beds National Monument (AGFO),Agate Fossil Beds National Monument,AGFO,Midwest,National Monument
Air Quality Data Inventory (AQI),Air Quality Data Inventory,AQI,,
Air Quality Related Values Inventory (AQVI),Air Quality Related Values Inventory,AQVI,,
Air Resources Division  (ARD),Air Resources Division,ARD,,
"Air Resources Policy, Planning and Permit Review (PPPR)","Air Resources Policy, Planning and Permit Review",PPPR,,
Air Resources Research and Monitoring (ARRM),Air Resources Research and Monitoring,ARRM,,
Ala Kahakai National Historic Trail  (ALKA),Ala Kahakai National Historic Trail,ALKA,,
Alagnak Wild River (ALAG),Alagnak Wild River,ALAG,,
Alaska Public Lands Info Ctr - Anchorage  (ANCH),Alaska Public Lands Info Ctr - Anchorage,ANCH,,
Alaska Public Lands Info Ctr - Fairbanks  (AKLO),Alaska Public Lands Info Ctr - Fairbanks,AKLO,,
Alaska Region  (AKR),Alaska Region,AKR,,
Alaska Region Office  (AKRO),Alaska Region Office,AKRO,,
Alaska Support Office  (AKSO),Alaska Support Office,AKSO,,
Alcatraz Island  (ALCA),Alcatraz Island,ALCA,,
Aleutian World War II National Historic Area  (ALEU),Aleutian World War II National Historic Area,ALEU,,
Aleutian and Bering Sea Islands FWS Landscape Conservation Cooperative  (FABS),Aleutian and Bering Sea Islands FWS Landscape Conservation Cooperative,FABS,,
Alibates Flint Quarries National Monument (ALFL),Alibates Flint Quarries National Monument,ALFL,Intermountain,National Monument
Allegheny Portage Railroad National Historic Site (ALPO),Allegheny Portage Railroad National Historic Site,ALPO,Northeast,National Historic Site
American Memorial Park  (AMME),American Memorial Park,AMME,,
Amistad National Recreation Area (AMIS),Amistad National Recreation Area,AMIS,Intermountain,National Recreation Area
Anacostia Park  (ANAC),Anacostia Park,ANAC,,
Anchorage Interagency Visitor Center  (AIVC),Anchorage Interagency Visitor Center,AIVC,,
Andersonville National Historic Site (ANDE),Andersonville National Historic Site,ANDE,Southeast,National Historic Site
Andrew Johnson National Historic Site (ANJO),Andrew Johnson National Historic Site,ANJO,Southeast,National Historic Site
Aniakchak National Monument and Preserve  (ANIA),Aniakchak National Monument and Preserve,ANIA,Alaska,National Monument
Antietam National Battlefield (ANTI),Antietam National Battlefield,ANTI,National Capital,National Battlefield
Antietam National Cemetery (ANCM),Antietam National Cemetery,ANCM,,
Apostle Islands National Lakeshore (APIS),Apostle Islands National Lakeshore,APIS,Midwest,National Lakeshore
Appalachian FWS Landscape Conservation Cooperative  (FAPP),Appalachian FWS Landscape Conservation Cooperative,FAPP,,
Appalachian Highlands Network  (APHN),Appalachian Highlands Network,APHN,,
Appalachian National Scenic Trail (APPA),Appalachian National Scenic Trail,APPA,,
Appalachian Trail Land Acquisition Field Office  (APLO),Appalachian Trail Land Acquisition Field Office,APLO,,
Appomattox Court House National Historical Park (APCO),Appomattox Court House National Historical Park,APCO,Northeast,National Historical Park
Arches National Park (ARCH),Arches National Park,ARCH,Intermountain,National Park
Arctic FWS Landscape Conservation Cooperative  (FARC),Arctic FWS Landscape Conservation Cooperative,FARC,,
Arctic Network  (ARCN),Arctic Network,ARCN,,
Arkansas Post National Memorial (ARPO),Arkansas Post National Memorial,ARPO,Midwest,National Memorial
"Arlington House, The Robert E. Lee Memorial (ARHO)","Arlington House, The Robert E. Lee Memorial",ARHO,National Capital,National Memorial
Assateague Island National Seashore (ASIS),Assateague Island National Seashore,ASIS,Northeast,National Seashore
Aztec Ruins National Monument (AZRU),Aztec Ruins National Monument,AZRU,Intermountain,National Monument
Badlands National Park (BADL),Badlands National Park,BADL,Midwest,National Park
Baltimore-Washington National Parkway (BAWA),Baltimore-Washington National Parkway,BAWA,,
Bandelier National Monument (BAND),Bandelier National Monument,BAND,Intermountain,National Monument
Base Cartography Data Inventory (BCI),Base Cartography Data Inventory,BCI,,
Baseline Water Quality Inventory (WQI),Baseline Water Quality Inventory,WQI,,
Battleground National Cemetery (BATT),Battleground National Cemetery,BATT,,
Bear Paw Battlefield  (BEAR),Bear Paw Battlefield,BEAR,,
Belmont-Paul Women\u0027s Equality National Monument (BEPA),Belmont-Paul Women\u0027s Equality National Monument,BEPA,,
Benjamin Franklin National Memorial  (BEFR),Benjamin Franklin National Memorial,BEFR,,
Bent\u0027s Old Fort National Historic Site (BEOL),Bent\u0027s Old Fort National Historic Site,BEOL,Intermountain,National Historic Site
Bering Land Bridge National Preserve (BELA),Bering Land Bridge National Preserve,BELA,Alaska,National Preserve
Beringia International Heritage Park  (BERI),Beringia International Heritage Park,BERI,,
Big Bend National Park (BIBE),Big Bend National Park,BIBE,Intermountain,National Park
