UnitCode,AreaName,State,Reg,GrossAcres
ACAD,ACADIA NP,ME,NE,49057.36
AMIS,AMISTAD NRA,TX,IM,58500.00
APIS,APOSTLE ISLANDS NL,WI,MW,69377.43
ARCH,ARCHES NP,UT,IM,76678.98
ASIS,ASSATEAGUE ISLAND NS,MD-VA 2/,NE,41346.50
ASIS,ASSATEAGUE ISLAND NS,MD-VA 2/,NE,41346.50
BADL,BADLANDS NP,SD,MW,242755.94
BAND,BANDELIER NM,NM,IM,33676.67
BELA,BERING LAND BRIDGE N PRES,AK,A,2697391.01
BIBE,BIG BEND NP,TX,IM,801163.21
BICA,BIGHORN CANYON NRA,MT-WY,IM,120296.22
BICY,BIG CYPRESS N PRESERVE,FL 5/,SE,574453.32
BISC,BISCAYNE NP,FL,SE,172971.11
BITH,BIG THICKET N PRESERVE,TX,IM,112500.81
BIXO,BIG SOUTH FORK RA & NR,KY-TN,SE,123694.10
BLCA,BLACK CANYON OF GUNNISON NP,CO,IM,30749.75
BLCA,BLACK CANYON OF GUNNISON NP,CO,IM,30749.75
BLRI,BLUE RIDGE PKWY,NC-VA,NT,98774.04
BLRI,BLUE RIDGE PKWY,NC-VA,NT,98774.04
BRCA,BRYCE CANYON NP,UT,IM,35835.08
BRCA,BRYCE CANYON NP,UT,IM,35835.08
BUFF,BUFFALO N RVR,AR,MW,94293.31
BUFF,BUFFALO N RVR,AR,MW,94293.31
BUIS,BUCK ISLAND REEF NM,VI,SE,19015.47
CACH,CANYON DE CHELLY NM,AZ,IM,83840.00
CACO,CAPE COD NS,MA,NE,43608.43
CACO,CAPE COD NS,MA,NE,43608.43
CAHA,CAPE HATTERAS NS,NC,SE,30350.65
CAKR,CAPE KRUSENSTERN NM,AK,A,649096.15
CALO,CAPE LOOKOUT NS,NC,SE,28243.36
CALO,CAPE LOOKOUT NS,NC,SE,28243.36
CANA,CANAVERAL NS,FL,SE,57661.69
CANA,CANAVERAL NS,FL,SE,57661.69
CANY,CANYONLANDS NP,UT,IM,337597.83
CARE,CAPITOL REEF NP,UT,IM,241904.26
CAVE,CARLSBAD CAVERNS NP,NM,IM,46766.45
CHAT,CHATTAHOOCHEE RVR NRA,GA,SE,10550.06
CHAT,CHATTAHOOCHEE RVR NRA,GA,SE,10550.06
CHCU,CHACO CULTURE NHP,TX,IM,33960.19
CHIR,CHIRICAHUA NM,AZ,IM,12024.73
CHIS,CHANNEL ISLANDS NP,CA,PW,249561.00
CIRO,CITY OF ROCKS NRESERVE,ID,PW,14407.19
