Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,1,"3,878",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,2,"5,167",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,3,"8,054",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,4,"18,178",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,5,"19,290",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,6,"24,308",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,7,"29,269",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,8,"21,939",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,9,"22,223",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,10,"14,265",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,11,"6,467",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2010,12,"4,084",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,1,"2,643",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,2,"3,647",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,3,"7,925",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,4,"19,339",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,5,"16,958",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,6,"21,492",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,7,"26,221",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,8,"20,223",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,9,"20,568",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,10,"12,889",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,11,"6,757",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2011,12,"4,906",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2012,1,"3,772",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2012,2,"4,920",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2012,3,"11,844",0,0,0
Southeast,National Historical Park,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,2012,4,"16,608",0,0,0
