Species_ID,Category,Family,Scientific_Name,Common_Names,Record_Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation_Status
ACAD-1015,Mammal,Odobenidae,Odobenus rosmarus,Walrus,Approved,Not Confirmed,Not Native,,,
ACAD-1027,Mammal,Vespertilionidae,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Approved,Not Present (False Report),Not Native,,,
ACAD-1032,Mammal,Cricetidae,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Approved,Not Present (Historical Report),Native,,,
ACAD-1043,Mammal,Sciuridae,Glaucomys volans,Southern Flying Squirrel,Approved,Not Confirmed,Not Native,,,
ACAD-1045,Mammal,Sciuridae,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",Approved,Present,Not Native,Common,,
ACAD-1051,Mammal,Soricidae,Sorex hoyi,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Approved,Present,Native,Common,,
ACAD-1053,Mammal,Talpidae,Condylura cristata,Star-Nosed Mole,Approved,Present,Native,Common,Breeder,
ACAD-1062,Bird,Accipitridae,Buteo platypterus,"Broad-Winged Hawk, Northern Broad-Winged Hawk",Approved,Present,Native,Common,Breeder,
ACAD-1065,Bird,Accipitridae,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Approved,Present,Native,Common,Breeder,In Recovery
ACAD-1094,Bird,Anatidae,Lophodytes cucullatus,Hooded Merganser,Approved,Present,Native,Uncommon,Breeder,
ACAD-1099,Bird,Anatidae,Mergus serrator,Red-Breasted Merganser,Approved,Present,Native,Common,Breeder,
ACAD-1117,Bird,Charadriidae,Charadrius semipalmatus,"Ringed Plover, Semipalmated Plover, Semipalmated Ringed Plover",Approved,Not Confirmed,Native,,Migratory,
ACAD-1118,Bird,Charadriidae,Charadrius vociferus,"Killdeer, Northern Killdeer",Approved,Present,Native,Common,,
ACAD-1123,Bird,Laridae,Larus argentatus,"American Herring Gull, Herring Gull",Approved,Present,Native,Abundant,Resident,
ACAD-1125,Bird,Laridae,Larus delawarensis,Ring-Billed Gull,Approved,Present,Native,Common,Resident,
ACAD-1130,Bird,Laridae,Larus minutus,Little Gull,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1131,Bird,Laridae,Larus philadelphia,Bonaparte's Gull,Approved,Not Confirmed,Native,,Resident,
ACAD-1132,Bird,Laridae,Larus pipixcan,Franklin's Gull,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1139,Bird,Laridae,Sterna dougallii,"Northern Roseate Tern, Roseate Tern",Approved,Not Confirmed,Native,,Resident,
ACAD-1148,Bird,Scolopacidae,Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper",Approved,Present,Native,Rare,Migratory,Species of Concern
ACAD-1153,Bird,Scolopacidae,Calidris fuscicollis,White-Rumped Sandpiper,Approved,Present,Native,Uncommon,Migratory,
ACAD-1156,Bird,Scolopacidae,Calidris mauri,Western Sandpiper,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1160,Bird,Scolopacidae,Catoptrophorus semipalmatus,"Eastern Willet, Willet",Approved,Not Confirmed,Native,,Migratory,
ACAD-1163,Bird,Scolopacidae,Limnodromus scolopaceus,Long-Billed Dowitcher,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1173,Bird,Scolopacidae,Tringa melanoleuca,"Greater Yellowlegs, Greater Yellow-Legs",Approved,Present,Native,Common,Migratory,
ACAD-1180,Bird,Columbidae,Ectopistes migratorius,Passenger Pigeon,Approved,Not Confirmed,Native,,,
ACAD-1185,Bird,Falconidae,Falco columbarius,"Eastern Pigeon Hawk, Merlin, Pigeon Hawk",Approved,Present,Native,Common,,Species of Concern
ACAD-1186,Bird,Falconidae,Falco peregrinus,"American Peregrine Falcon, Duck Hawk, Peregrine Falcon",Approved,Present,Not Native,Uncommon,Breeder,Species of Concern
ACAD-1194,Bird,Phasianidae,Phasianus colchicus,"Pheasant, Ring-Necked Pheasant",Approved,Not Confirmed,Not Native,,,
ACAD-1203,Bird,Rallidae,Porzana carolina,"Sora Rail, Sora",Approved,Present,Native,Common,,
ACAD-1204,Bird,Rallidae,Rallus elegans,"King Rail, Northern King Rail",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
ACAD-1207,Bird,Alaudidae,Eremophila alpestris,"Horned Lark, Northern Horned Lark",Approved,Present,Native,Uncommon,Migratory,
ACAD-1213,Bird,Cardinalidae,Guiraca caerulea,"Blue Grosbeak, Eastern Blue Grosbeak",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
ACAD-1217,Bird,Cardinalidae,Pheucticus ludovicianus,Rose-Breasted Grosbeak,Approved,Present,Native,Common,Breeder,
ACAD-1220,Bird,Cardinalidae,Piranga rubra,"Eastern Summer Tanager, Summer Tanager",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
ACAD-1228,Bird,Emberizidae,Ammodramus leconteii,"Le Conte's Sparrow, Leconte's Sparrow",Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1238,Bird,Emberizidae,Passerella iliaca,"Eastern Fox Sparrow, Fox Sparrow",Approved,Not Present (Historical Report),Native,,Migratory,
ACAD-1241,Bird,Emberizidae,Pipilo maculatus,Spotted Towhee,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1248,Bird,Emberizidae,Zonotrichia atricapilla,Golden-Crowned Sparrow,Approved,Not Present (False Report),Not Native,,Vagrant,
ACAD-1282,Bird,Mimidae,Toxostoma rufum,"Brown Thrasher, Eastern Brown Thrasher",Approved,Present,Native,Common,Breeder,
ACAD-1292,Bird,Parulidae,Dendroica discolor,"Northern Prairie Warbler, Prairie Warbler",Approved,Present,Unknown,Unknown,,
ACAD-1293,Bird,Parulidae,Dendroica dominica,Yellow-Throated Warbler,Approved,Present,Not Native,Unknown,Vagrant,
ACAD-1306,Bird,Parulidae,Icteria virens,Yellow-Breasted Chat,Approved,Not Present (Historical Report),Not Native,,Vagrant,Species of Concern
ACAD-1313,Bird,Parulidae,Seiurus aurocapillus,"Common Oven-Bird, Ovenbird",Approved,Present,Native,Common,Breeder,
ACAD-1319,Bird,Parulidae,Vermivora peregrina,Tennessee Warbler,Approved,Present,Native,Common,Breeder,
ACAD-1324,Bird,Parulidae,Wilsonia pusilla,"Wilson's Pileolated Warbler, Wilson's Warbler",Approved,Present,Native,Common,Breeder,Species of Concern
ACAD-1329,Bird,Sittidae,Sitta canadensis,Red-Breasted Nuthatch,Approved,Present,Native,Abundant,Breeder,
ACAD-1336,Bird,Troglodytidae,Troglodytes aedon,"Eastern House Wren, House Wren",Approved,Not Present (Historical Report),Native,,,
ACAD-1339,Bird,Turdidae,Catharus fuscescens,"Eastern Veery, Veery, Wilson's Thrush",Approved,Present,Native,Common,Breeder,
ACAD-1346,Bird,Turdidae,Sialia sialis,"Bluebird, Eastern Bluebird",Approved,Present,Native,Uncommon,,
ACAD-1347,Bird,Turdidae,Turdus migratorius,"American Robin, Eastern Robin",Approved,Present,Native,Abundant,Breeder,
ACAD-1359,Bird,Tyrannidae,Tyrannus forficatus,Scissor-Tailed Flycatcher,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1363,Bird,Vireonidae,Vireo gilvus,"Eastern Warbling Vireo, Warbling Vireo",Approved,Present,Native,Occasional,,
ACAD-1371,Bird,Ardeidae,Bubulcus ibis,Cattle Egret,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1376,Bird,Ardeidae,Ixobrychus exilis,"Least Bittern, Eastern Least Bittern",Approved,Present,Native,Rare,Breeder,
ACAD-1380,Bird,Pelecanidae,Pelecanus erythrorhynchos,"American White Pelican, White Pelican",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern
ACAD-1383,Bird,Picidae,Colaptes auratus,"Common Flicker, Flicker, Golden-Winged Flicker, Northern Flicker, Northern Yellow-Shafted Flicker, Yellow-Shafted Flicker",Approved,Present,Native,Common,Breeder,
ACAD-1396,Bird,Diomedeidae,Diomedea chlororhynchos,Yellow-Nosed Albatross,Approved,Not Confirmed,Not Native,,Vagrant,
ACAD-1397,Bird,Hydrobatidae,Oceanites oceanicus,"Atlantic Wilson's Petrel, Wilson's Petrel, Wilson's Storm-Petrel",Approved,Not Confirmed,Native,,Resident,
ACAD-1399,Bird,Procellariidae,Calonectris diomedea,"Cory's Cinereous Shearwater, Cory's Shearwater, North Atlantic Shearwater",Approved,Not Confirmed,Not Native,,Migratory,
ACAD-1400,Bird,Procellariidae,Fulmarus glacialis,"Atlantic Fulmar, Northern Fulmar",Approved,Not Confirmed,Native,,Resident,
ACAD-1403,Bird,Procellariidae,Puffinus puffinus,"Manx Common Shearwater, Manx Shearwater",Approved,Not Confirmed,Native,,Migratory,
ACAD-1407,Bird,Strigidae,Asio otus,"American Long-Eared Owl, Long-Eared Owl",Approved,Present,Native,Rare,Resident,Species of Concern
ACAD-1428,Reptile,Emydidae,Terrapene carolina,"Box Turtle, Common Box Turtle, Eastern Box Turtle",Approved,Not Confirmed,Not Native,,,
ACAD-1430,Amphibian,Bufonidae,Bufo americanus,"American Toad, Common Toad",Approved,Present,Native,Uncommon,Breeder,
ACAD-1449,Fish,Clupeidae,Clupea harengus,Atlantic Herring,Approved,Present,Unknown,Unknown,,
ACAD-1450,Fish,Catostomidae,Catostomus commersoni,"Common Sucker, White Sucker",Approved,Present,Native,Common,Breeder,
ACAD-1462,Fish,Gasterosteidae,Apeltes quadracus,Fourspine Stickleback,Approved,Present,Native,Uncommon,Breeder,
ACAD-1463,Fish,Gasterosteidae,Gasterosteus aculeatus,"Brook Stickleback, Threespine Stickleback, Three-Spined Stickleback",Approved,Present,Native,Common,Breeder,
ACAD-1479,Fish,Salmonidae,Salvelinus alpinus,"Arctic Char, Golden Trout, Silver Trout, Sunapee Char, Sunapee Trout",Approved,Not Present (Historical Report),Not Native,,,
ACAD-1482,Fish,Ictaluridae,Ameiurus nebulosus,Brown Bullhead,Approved,Present,Not Native,Uncommon,Breeder,
ACAD-1490,Vascular Plant,,Panicum acuminatum ssp. spretum,Panic Grass,Approved,Present,Native,Unknown,,
ACAD-1493,Vascular Plant,,Rubus allegheniensis x setosus,Hbrid Blackbetty,In Review,Not Confirmed,Native,,,
ACAD-1496,Vascular Plant,,Schoenoplectus acutus x tabernaemontanii,Hybrid,In Review,Present,Native,Rare,,
ACAD-1498,Vascular Plant,Alismataceae,Alisma triviale,Large Water Plantain,Approved,Present,Native,Rare,,
ACAD-1501,Vascular Plant,Araceae,Arisaema triphyllum,Northern Jack-In-The-Pulpit,Approved,Present,Native,Uncommon,,
ACAD-1502,Vascular Plant,Araceae,Calla palustris,Wild Calla,Approved,Present,Native,Uncommon,,
ACAD-1516,Vascular Plant,Potamogetonaceae,Potamogeton oakesianus,Oakes' Pondweed,Approved,Present,Native,Occasional,,
ACAD-1518,Vascular Plant,Potamogetonaceae,Potamogeton pusillus var. gemmiparus,"Budding Pondweed, Small Pondweed",Approved,Present,Native,Rare,,
ACAD-1521,Vascular Plant,Potamogetonaceae,Potamogeton zosteriformis,Flatstem Pondweed,Approved,Not Present (Historical Report),Native,,,
ACAD-1526,Vascular Plant,Zosteraceae,Zostera marina var. stenophylla,Eel-Grass,Approved,Present,Native,Uncommon,,
ACAD-1528,Vascular Plant,Apiaceae,Angelica atropurpurea,Purple-Stem Angelica,Approved,Not Confirmed,Native,,,
ACAD-1539,Vascular Plant,Apiaceae,Pastinaca sativa,Wild Parsnip,Approved,Not Confirmed,Not Native,,,
