Reg,Type,ParkName,DayVisits,OtherLodging,OtherCamping,TentCampers,RVCampers,BackcountryCampers,Acres
A,NM,Cape Krusenstern National Monument,"15,000",0,0,0,0,"6,375","649,096.15"
A,NP,Kenai Fjords National Park,"346,534",0,0,"1,514",0,648,"669,650.05"
A,NP,Kobuk Valley National Park,"15,500",0,0,0,0,"7,050","1,750,716.16"
A,PRE,Yukon-Charley Rivers National Preserve,"1,146",0,0,0,0,"3,063","2,523,512.44"
A,PRE,Bering Land Bridge National Preserve,"2,642",0,0,0,0,"1,123","2,697,391.01"
A,PRESERVE,Noatak National Preserve,"17,000",0,0,0,0,"5,500","6,587,071.39"
IM,NM,Alibates Flint Quarries National Monument,"8,153",0,0,0,0,0,"1,370.97"
IM,NM,Aztec Ruins National Monument,"57,692",0,0,0,0,0,318.40
IM,NM,Bandelier National Monument,"198,478",0,0,"5,704","4,164",665,"33,676.67"
IM,NM,Canyon De Chelly National Monument,"821,406","23,259","11,173",0,0,745,"83,840.00"
IM,NM,Capulin Volcano National Monument,"60,132",0,0,0,0,0,792.84
IM,NM,Casa Grande Ruins National Monument,"75,752",0,0,0,0,0,472.50
IM,NM,Cedar Breaks National Monument,"899,676",0,0,"2,501","1,776",0,"6,154.60"
IM,NM,Chiricahua National Monument,"51,277",0,0,"5,966","5,708",0,"12,024.73"
IM,NM,Colorado National Monument,"391,075",0,0,"16,202","14,601",358,"20,536.39"
IM,NM,Devils Tower National Monument,"496,210",0,0,"10,850","6,533",0,"1,347.21"
IM,NM,Dinosaur National Monument,"304,312",0,0,"17,207","13,604","34,591","210,281.92"
IM,NM,El Malpais National Monument,"157,440",0,0,0,0,0,"114,347.11"
IM,NM,El Morro National Monument,"59,422",0,0,"1,704","1,291",0,"1,278.72"
IM,NM,Florissant Fossil Beds National Monument,"73,564",0,0,0,0,0,"5,998.09"
IM,NM,Fort Union National Monument,"11,953",0,0,0,0,0,720.60
IM,NM,Fossil Butte National Monument,"20,737",0,0,0,0,0,"8,198.00"
IM,NM,Gila Cliff Dwellings National Monument,"41,519",0,0,0,0,0,533.13
IM,NM,Hovenweep National Monument,"42,862",0,0,"1,184","1,211",0,784.93
