RegCode,ParkName,ParkCode,Location,Count,TypeCode
SE,Abraham Lincoln Birthplace National Historical Park,ABLI,TRAFFIC COUNT AT KNOB CREEK,496,NHP
SE,Abraham Lincoln Birthplace National Historical Park,ABLI,TRAFFIC COUNT AT MAIN ENTRANCE,"1,302",NHP
SE,Abraham Lincoln Birthplace National Historical Park,ABLI,TRAFFIC COUNT AT PICNIC PARKING LOT,361,NHP
NE,Acadia National Park,ACAD,TRAFFIC COUNT AT SAND BEACH,"4,029",NP
NE,Acadia National Park,ACAD,TRAFFIC COUNT AT SCHOODIC,"1,950",NP
NE,Allegheny Portage Railroad National Historic Site,ALPO,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,"1,309",NHS
NE,Allegheny Portage Railroad National Historic Site,ALPO,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,784,NHS
NE,Allegheny Portage Railroad National Historic Site,ALPO,Traffic Count at Main Entrance,784,NHS
NE,Allegheny Portage Railroad National Historic Site,ALPO,Traffic Count at Picnic Area,"1,954",NHS
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT BLACK BRUSH POINT,"1,732",NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT BOX CANYON,"1,639",NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT DAM VC,962,NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT DIABLO EAST,"3,435",NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT GOVERNORS LANDING,"1,572",NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT OLD 277 NORTH,334,NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT PECOS RIVER,660,NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT ROUGH CANYON ROAD,"1,556",NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT SAN PEDRO,155,NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT SPUR 406,194,NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT SPUR 454,"2,140",NRA
IM,Amistad National Recreation Area,AMIS,TRAFFIC COUNT AT U.S.A.F. MARINA,"1,341",NRA
SE,Andersonville National Historic Site,ANDE,TRAFFIC COUNT AT MAIN ENTRANCE,"2,146",NHS
SE,Andrew Johnson National Historic Site,ANJO,TRAFFIC COUNT AT CEMETERY ROAD,271,NHS
SE,Andrew Johnson National Historic Site,ANJO,TRAFFIC COUNT AT JOHNSON'S GRAVE/MONUMENT ROAD,363,NHS
MW,Apostle Islands National Lakeshore,APIS,TRAFFIC COUNT AT LITTLE SAND BAY,429,NL
MW,Apostle Islands National Lakeshore,APIS,TRAFFIC COUNT AT MEYERS ROAD,442,NL
NE,Appomattox Court House National Historical Park,APCO,TRAFFIC COUNT AT VILLAGE ENTRANCE,"1,133",NHP
IM,Arches National Park,ARCH,Total Vehicles entering Park,"8,439",NP
MW,Arkansas Post National Memorial,ARPO,TRAFFIC COUNT AT ENTRANCE LANE,902,NMEM
NE,Assateague Island National Seashore,ASIS,TRAFFIC COUNT AT BAYBERRY DRIVE,"8,513",NS
NE,Assateague Island National Seashore,ASIS,TRAFFIC COUNT AT FWS ENTRANCE,"9,625",NS
MW,Badlands National Park,BADL,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),"2,987",NP
MW,Badlands National Park,BADL,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),"2,640",NP
MW,Badlands National Park,BADL,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),"1,094",NP
IM,Bandelier National Monument,BAND,TRAFFIC COUNT AT ENTRANCE,0,NM
IM,Big Bend National Park,BIBE,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,"4,322",NP
IM,Big Bend National Park,BIBE,TRAFFIC COUNT AT ROUTE 13-MAVERICK,"8,661",NP
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT BEAR ISLAND,589,PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT DONA DRIVE,"1,732",PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT KIRBY STORTER,"2,925",PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT MITCHELL'S LANDING,778,PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT MONUMENT LAKE CG,"1,270",PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT OASIS PARKING LOT,"11,978",PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT PINECREST,0,PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT TURNER RIVER CANOE LAUNCH,"2,372",PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT AT WEST LOOP,"2,052",PRESERVE
SE,Big Cypress National Preserve,BICY,TRAFFIC COUNT EAST LOOP ROAD,"1,851",PRESERVE
PW,Big Hole National Battlefield,BIHO,TRAFFIC COUNT AT BATTLE ROAD,0,NB
PW,Big Hole National Battlefield,BIHO,TRAFFIC COUNT AT ENTRANCE ROAD,0,NB
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT ALUM FORD,744,NR
SE,Big South Fork National River and Recreation Area,BISO,TRAFFIC COUNT AT BEAR CREEK RECREATION AREA,127,NR
