STATION,NAME,UNITCODE,Year,Month,DATE,EVAP,EVAPMIN,EVAPMAX,PRECIP,SNOW,SNOWDEPTH,TEMPMAX,TEMPMIN,FOG,THUNDER,ICE,HAIL,RIME
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-01,,,,0.28,4,2,35,13,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-02,,,,0,0,0,40,7,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-03,,,,0,0,0,45,13,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-04,,,,0,0,0,50,17,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-05,,,,0,0,0,56,26,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-06,,,,0,0,0,63,29,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-07,,,,0,0,0,68,37,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-08,,,,0,0,0,64,43,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-09,,,,0,0,0,64,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-10,,,,0.03,0,0,59,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-11,,,,0.02,0,0,54,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-12,,,,0.02,0,0,54,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-13,,,,0.18,0,0,51,31,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-14,,,,0,0,0,49,26,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-15,,,,0,0,0,54,26,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-16,,,,0,0,0,58,36,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-17,,,,0,0,0,56,28,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-18,,,,0,0,0,62,28,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-19,,,,0,0,0,64,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-20,,,,0,0,0,60,37,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-21,,,,0,0,0,52,28,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-22,,,,0,0,0,54,20,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-23,,,,0,0,0,53,26,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-24,,,,0,0,0,53,24,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-25,,,,0,0,0,60,26,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-26,,,,0,0,0,66,40,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-27,,,,0.29,0,0,68,43,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-28,,,,0.02,0,0,60,43,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-29,,,,0,0,0,59,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-30,,,,0.12,0,0,60,44,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,1,2015-01-31,,,,0.32,0,0,47,41,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-01,,,,0,0,0,59,37,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-02,,,,0,0,0,59,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-03,,,,0,0,0,65,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-04,,,,0,0,0,64,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-05,,,,0,0,0,69,44,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-06,,,,0,0,0,72,46,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-07,,,,0,0,0,74,45,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-08,,,,0,0,0,71,46,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-09,,,,0,0,0,73,48,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-10,,,,0,0,0,73,44,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-11,,,,0,0,0,67,32,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-12,,,,0,0,0,67,41,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-13,,,,0,0,0,70,43,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,2,2015-02-14,,,,0,0,0,75,46,,,,,
