Season,Basin,Sub_basin,Name,ISO_time,Type,Latitude,Longitude,Wind,Pressure,Hem_NS,Hem_EW,Region
2000,SI,WA,ILSA,08DEC1999:22:00:00.00,NR,-9,95,25,1002,S,E,South Pacific/Indian
2000,SI,WA,ILSA,09DEC1999:22:00:00.00,NR,-9.2,97.2,25,1002,S,E,South Pacific/Indian
2000,SI,WA,ILSA,10DEC1999:04:00:00.00,NR,-9.3,97.8,25,1000,S,E,South Pacific/Indian
2000,SI,WA,ILSA,10DEC1999:10:00:00.00,NR,-9.8,98.4,30,997,S,E,South Pacific/Indian
2000,SI,WA,ILSA,10DEC1999:16:00:00.00,NR,-10.1,99,30,997,S,E,South Pacific/Indian
2000,SI,WA,ILSA,10DEC1999:22:00:00.00,NR,-10.5,99.6,35,995,S,E,South Pacific/Indian
2000,SI,WA,ILSA,11DEC1999:04:00:00.00,NR,-10.8,100.3,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,11DEC1999:10:00:00.00,NR,-11.1,100.7,50,985,S,E,South Pacific/Indian
2000,SI,WA,ILSA,11DEC1999:16:00:00.00,NR,-11.3,101.4,50,985,S,E,South Pacific/Indian
2000,SI,WA,ILSA,11DEC1999:22:00:00.00,NR,-11.7,102.1,55,980,S,E,South Pacific/Indian
2000,SI,WA,ILSA,12DEC1999:04:00:00.00,NR,-11.9,102.7,55,980,S,E,South Pacific/Indian
2000,SI,WA,ILSA,12DEC1999:10:00:00.00,NR,-12.2,103.2,50,985,S,E,South Pacific/Indian
2000,SI,WA,ILSA,12DEC1999:16:00:00.00,NR,-12.3,103.7,50,985,S,E,South Pacific/Indian
2000,SI,WA,ILSA,12DEC1999:22:00:00.00,NR,-12.3,104.2,50,985,S,E,South Pacific/Indian
2000,SI,WA,ILSA,13DEC1999:04:00:00.00,NR,-12.3,104.7,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,13DEC1999:10:00:00.00,NR,-12.3,105.4,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,13DEC1999:16:00:00.00,NR,-12.3,106.4,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,13DEC1999:22:00:00.00,NR,-12.3,107.4,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,14DEC1999:04:00:00.00,NR,-12.3,108.4,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,14DEC1999:10:00:00.00,NR,-12.3,109.5,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,14DEC1999:16:00:00.00,NR,-12.3,110.5,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,14DEC1999:22:00:00.00,NR,-12.4,111.5,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,15DEC1999:04:00:00.00,NR,-12.5,112.4,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,15DEC1999:10:00:00.00,NR,-12.7,113.5,40,990,S,E,South Pacific/Indian
2000,SI,WA,ILSA,15DEC1999:16:00:00.00,NR,-13.5,114.5,40,992,S,E,South Pacific/Indian
2000,SI,WA,ILSA,15DEC1999:22:00:00.00,NR,-14.6,115.5,40,992,S,E,South Pacific/Indian
2000,SI,WA,ILSA,16DEC1999:04:00:00.00,NR,-15.6,116.7,40,992,S,E,South Pacific/Indian
2000,SI,WA,ILSA,16DEC1999:07:00:00.00,NR,-16.2,117.5,40,992,S,E,South Pacific/Indian
2000,SI,WA,ILSA,16DEC1999:10:00:00.00,NR,-16.9,118.2,35,994,S,E,South Pacific/Indian
2000,SI,WA,ILSA,16DEC1999:16:00:00.00,NR,-17.6,118.9,35,994,S,E,South Pacific/Indian
2000,SI,WA,ILSA,16DEC1999:22:00:00.00,NR,-18.6,119.8,35,994,S,E,South Pacific/Indian
2000,SI,WA,ILSA,17DEC1999:04:00:00.00,NR,-19.6,120.7,35,994,S,E,South Pacific/Indian
2000,SI,WA,ILSA,17DEC1999:07:00:00.00,NR,-19.9,121,35,995,S,E,South Pacific/Indian
2000,SI,WA,ILSA,17DEC1999:10:00:00.00,NR,-20.2,121.3,25,995,S,E,South Pacific/Indian
2000,SI,WA,JOHN,09DEC1999:07:00:00.00,NR,-10.5,122.5,25,1003,S,E,South Pacific/Indian
2000,SI,WA,JOHN,09DEC1999:10:00:00.00,NR,-10.5,122.1,25,1003,S,E,South Pacific/Indian
2000,SI,WA,JOHN,09DEC1999:16:00:00.00,NR,-10.9,121.2,25,1003,S,E,South Pacific/Indian
2000,SI,WA,JOHN,09DEC1999:19:00:00.00,NR,-11.2,121,25,1002,S,E,South Pacific/Indian
2000,SI,WA,JOHN,09DEC1999:22:00:00.00,NR,-11.5,120.9,25,1002,S,E,South Pacific/Indian
2000,SI,WA,JOHN,10DEC1999:04:00:00.00,NR,-11.9,120.7,25,1002,S,E,South Pacific/Indian
2000,SI,WA,JOHN,10DEC1999:07:00:00.00,NR,-12.5,120.6,25,1000,S,E,South Pacific/Indian
