Season,Name,Basin,Type,MaxWindMPH,MinPressure,StartDate,EndDate,Hem_NS,Hem_EW,Lat,Lon
1980,,na,TS,35,,17JUL1980,18NOV1980,N,W,25.7,-91.2
1980,,SP,NR,,998,27MAR1980,30MAR1980,S,E,19.1,137
1980,AGATHA,EP,TS,115,,09JUN1980,15JUN1980,N,W,12.8,-118.7
1980,ALBINE,SI,ET,,,27NOV1979,06DEC1979,S,E,19.1,137
1980,ALEX,WP,TS,40,998,09OCT1980,14OCT1980,N,E,27.2,140.5
1980,ALLEN,NA,TS,190,899,31JUL1980,11AUG1980,N,W,21.8,-86.4
1980,AMY,SI,NR,132,915,04JAN1980,12JAN1980,S,E,-19.4,119.6
1980,BERENICE,SI,TS,,,15DEC1979,21DEC1979,S,E,-19.4,119.6
1980,BETTY,WP,ET,115,925,28OCT1980,08NOV1980,N,E,14.3,127.5
1980,BLAS,EP,TS,58,,16JUN1980,19JUN1980,N,W,12.3,-110.5
1980,BONNIE,NA,ET,98,975,14AUG1980,19AUG1980,N,W,23.7,-38.9
1980,BRIAN,SI,NR,115,930,18JAN1980,27JAN1980,S,E,-18,103
1980,CARMEN,WP,TS,69,985,05APR1980,07APR1980,N,E,16.7,177.6
1980,CARY,WP,TS,52,996,28OCT1980,02NOV1980,N,E,16,114.6
1980,CELIA,EP,TS,75,,25JUN1980,29JUN1980,N,W,15.3,-108.3
1980,CHARLEY,NA,TS,81,989,20AUG1980,25AUG1980,N,W,38.9,-66.7
1980,CLARA,SI,NR,69,980,21JAN1980,29JAN1980,S,E,-19,110.7
1980,DANIELLE,NA,TS,58,1004,04SEP1980,07SEP1980,N,W,29.4,-93.4
1980,DARBY,EP,TS,52,,01JUL1980,03JUL1980,N,W,13.3,-120
1980,DEAN,SI,NR,127,930,27JAN1980,04FEB1980,S,E,-18.7,118.4
1980,DINAH,WP,ET,104,950,20NOV1980,27NOV1980,N,E,17.3,144.1
1980,DOM,WP,TS,98,960,07MAY1980,22MAY1980,N,E,16.9,123.3
1980,EARL,NA,ET,75,985,04SEP1980,11SEP1980,N,W,30.4,-42.5
1980,ED,WP,TS,52,990,14DEC1980,21DEC1980,N,E,13.4,127.7
1980,EGLANTINE,SI,TS,29,1005,05JAN1980,06JAN1980,S,E,-11,59
1980,ELLEN,WP,ET,121,930,13MAY1980,24MAY1980,N,E,17.2,139.5
1980,ENID,SI,NR,127,930,12FEB1980,18FEB1980,S,E,-19.5,120.4
1980,ESTELLE,EP,TS,46,,12JUL1980,13JUL1980,N,W,15.7,-108.8
1980,FLORE,SI,TS,23,1005,08JAN1980,09JAN1980,S,E,-13.6,66.4
1980,FORREST,WP,ET,63,992,19MAY1980,29MAY1980,N,E,13.3,125
1980,FRANCES,NA,ET,115,958,06SEP1980,21SEP1980,N,W,12.8,-29.8
1980,FRANK,EP,TS,52,,18JUL1980,22JUL1980,N,W,17.3,-115.7
1980,FRED,SI,NR,121,930,20FEB1980,28FEB1980,S,E,-17.2,89.8
1980,GEORGES,NA,TS,81,993,01SEP1980,08SEP1980,N,W,40.2,-59
1980,GEORGETTE,EP,TS,75,,28JUL1980,31JUL1980,N,W,19.9,-114.5
1980,GEORGIA,WP,TS,63,980,19MAY1980,25MAY1980,N,E,21.5,115.3
1980,GLORIA,SI,NR,104,955,14MAR1980,29MAR1980,S,E,-17.1,101.3
1980,GUDULE1,SI,TS,33,1000,10JAN1980,13JAN1980,S,E,-20.3,51
1980,GUDULE2,SI,TS,33,1000,10JAN1980,12JAN1980,S,E,-26,47.2
1980,HERBERT,WP,ET,58,990,22JUN1980,29JUN1980,N,E,16.6,112
1980,HERMINE,NA,TS,69,993,20SEP1980,26SEP1980,N,W,17.8,-87.8
1980,HOWARD,EP,TS,104,,31JUL1980,07AUG1980,N,W,18.6,-116.7
1980,HYACINTHE,SI,ET,,,15JAN1980,31JAN1980,S,E,-26,47.2
1980,IDA,WP,ET,81,980,05JUL1980,15JUL1980,N,E,20.4,122.2
1980,ISIS,EP,TS,98,,05AUG1980,11AUG1980,N,W,19.6,-110.3
1980,IVAN,NA,ET,104,970,01OCT1980,12OCT1980,N,W,28.1,-31.1
1980,IVANNE,SI,TS,33,1000,24JAN1980,26JAN1980,S,E,-11,76
1980,JACINTHE,SI,TS,,,01FEB1980,12FEB1980,S,E,-11,76
1980,JAVIER,EP,TS,115,,22AUG1980,29AUG1980,N,W,16.7,-114.1
1980,JEANNE,NA,TS,98,986,07NOV1980,16NOV1980,N,W,24.1,-87.4
1980,JOE,WP,ET,98,940,15JUL1980,24JUL1980,N,E,16.5,123.5
1980,KARL,NA,ET,86,985,25NOV1980,28NOV1980,N,W,37,-44.2
1980,KAY,EP,TS,138,,16SEP1980,30SEP1980,N,W,17,-113.9
1980,KIM,WP,TS,115,910,19JUL1980,27JUL1980,N,E,15.4,124.4
1980,KOLIA,SI,TS,,,25FEB1980,16MAR1980,S,E,-11,76
1980,LAURE,SI,TS,,,08MAR1980,17MAR1980,S,E,-11,76
1980,LESTER,EP,TS,40,,21SEP1980,25SEP1980,N,W,16.8,-107.4
1980,LEX,WP,ET,86,960,28JUL1980,13AUG1980,N,E,24.4,144.4
1980,MADELINE,EP,TS,52,,11OCT1980,12OCT1980,N,W,13.3,-109.5
1980,MARGE,WP,ET,104,945,08AUG1980,16AUG1980,N,E,20,155.1
1980,NEWTON,EP,TS,40,,28OCT1980,29OCT1980,N,W,16.9,-109.9
1980,NORRIS,WP,ET,109,945,23AUG1980,31AUG1980,N,E,24.3,122.8
1980,OFA,SP,NR,63,980,09DEC1979,15DEC1979,S,W,-19.3,-169.7
1980,ORCHID,WP,ET,81,960,04SEP1980,16SEP1980,N,E,25.4,130.1
1980,PAUL,SP,NR,58,985,02JAN1980,12JAN1980,S,E,-34,160.9
1980,PENI,SP,NR,75,970,02JAN1980,06JAN1980,S,W,-15,174.8
1980,PERCY,WP,TS,115,915,13SEP1980,19SEP1980,N,E,21.1,122.1
1980,RAE,SP,NR,46,990,02FEB1980,05FEB1980,S,E,-14.9,170.2
1980,RUTH,WP,ET,63,980,12SEP1980,17SEP1980,N,E,20.2,106.7
1980,RUTH,SP,NR,63,980,11FEB1980,18FEB1980,S,E,-20.2,159.5
1980,SIMON,SP,NR,104,950,21FEB1980,03MAR1980,S,W,-22.5,150.8
1980,SINA,SP,NR,75,970,10MAR1980,16MAR1980,S,W,-22.7,164.2
1980,SPERRY,WP,ET,75,975,14SEP1980,24SEP1980,N,E,31.2,142.2
1980,THELMA,WP,ET,63,960,25SEP1980,02OCT1980,N,E,27.3,143.4
1980,TIA,SP,NR,63,980,22MAR1980,27MAR1980,S,W,-16.5,179.5
1980,VAL,SP,NR,63,980,25MAR1980,28MAR1980,S,W,-15,-177
1980,VERNON,WP,ET,109,935,27SEP1980,05OCT1980,N,E,25.6,149.2
1980,VIOLA/CLAUDE,SI,ET,127,930,09DEC1979,28DEC1979,S,E,-10.3,84.1
